"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"219729_at",-0.480911951219513,6.37500879432624,-2.22091048833017,0.0279753236890133,0.0457470355026217,-4.97940318016851
"241893_at",0.39799195121951,7.37331602836879,2.22066365219692,0.0279924479236381,0.0457725325317664,-4.97993439919899
"229398_at",0.369465454545454,8.66349631205674,2.22062278716038,0.0279952838129031,0.0457746641129094,-4.98002234003397
"209078_s_at",0.302538425720623,7.86516482269504,2.22011023881111,0.0280308741244186,0.0458303487887229,-4.98112520701588
"203861_s_at",0.752765410199558,2.56478765957447,2.22000243897341,0.0280383645406679,0.0458400866858238,-4.98135713326344
"225323_at",0.414195631929048,6.20500347517731,2.21911746041182,0.0280999227719386,0.0459382144675817,-4.98326072627887
"202492_at",-0.329476851441243,7.46962042553191,-2.21890242732761,0.0281148980283375,0.0459601810660242,-4.98372315670358
"228008_at",0.57653512195122,3.53729929078014,2.2188030054702,0.0281218242795198,0.0459689880548343,-4.98393695012068
"219272_at",-0.466725986696231,4.6567,-2.21832875123365,0.0281548837927434,0.0460205101521462,-4.98495664769074
"232915_at",-0.23615822616408,4.72842404255319,-2.21794448937785,0.0281816949026599,0.046061813854963,-4.98578270308643
"211582_x_at",0.636348115299338,7.02512602836879,2.21787172977398,0.0281867740633983,0.0460675950101705,-4.9859391008541
"44673_at",0.855183614190689,7.25117078014184,2.2174822194177,0.028213978341866,0.0461095341652477,-4.98677627744648
"205092_x_at",-0.37191179600887,4.02273723404255,-2.21745439950676,0.0282159222217167,0.0461101884315834,-4.9868360656826
"225515_s_at",0.277546563192907,10.3364782269504,2.21731882698797,0.0282253968434948,0.0461231486190974,-4.98712741685313
"225281_at",0.303419822616407,9.46771595744681,2.21713581807607,0.0282381910004425,0.0461415315477639,-4.98752068455594
