"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"204116_at",2.72054416851441,7.39199872340426,4.27324029364546,3.55411956587537e-05,9.67665091062659e-05,1.19576742999039
"226448_at",-1.35792399113082,2.90550411347518,-4.27109847978015,3.58441420069077e-05,9.75453061796721e-05,1.18765408795934
"229553_at",1.67669150776053,7.99328411347518,4.27107954929499,3.58468306243243e-05,9.75453061796721e-05,1.18758239185452
"1558152_at",1.86944554323725,5.40144262411347,4.27089171310645,3.58735187009083e-05,9.76090376311353e-05,1.18687100633487
"223822_at",2.27910094013304,2.17174431914894,4.27086738947473,3.58769760370404e-05,9.7609554203507e-05,1.18677888803822
"229845_at",1.16717365853658,4.42867475177305,4.27051513456119,3.59270810546973e-05,9.77369722563494e-05,1.18544487568104
"205355_at",-1.50868254988914,5.80684489361702,-4.27019073261072,3.59732836429509e-05,9.78537517998426e-05,1.18421641897045
"227402_s_at",1.0392078713969,9.10669567375887,4.26845470497954,3.62215061892091e-05,9.85199903842523e-05,1.17764358523878
"244780_at",2.20373296452328,2.05942536170213,4.2675977684041,3.63446387520459e-05,9.88189126640453e-05,1.17439986425757
"230180_at",-1.4170267849224,9.38160042553191,-4.26732092606331,3.63845037957194e-05,9.89183001355594e-05,1.17335205300794
"218420_s_at",1.03159308203991,6.19892340425532,4.26699368526433,3.64316802901913e-05,9.90195237293136e-05,1.1721135576037
"228268_at",-2.72813760532151,4.48183163120567,-4.26687052826272,3.64494503525828e-05,9.90588091687324e-05,1.1716474690124
"225186_at",1.42108702882483,6.27969602836879,4.26602684104568,3.65714080536891e-05,9.93631353149481e-05,1.16845480607236
"230908_at",-1.07017427937916,2.61760971631206,-4.26565130352578,3.66258190693946e-05,9.94928701518618e-05,1.16703386094825
"209859_at",-1.57746920177384,2.67502205673759,-4.26561325589181,3.66313360608212e-05,9.94988090693681e-05,1.1668899030598
"235940_at",1.025,7.65610418439716,4.26511098505943,3.6704241242287e-05,9.9687771491121e-05,1.1649895921632
"217867_x_at",1.76197133037694,7.92578326241135,4.26501318686149,3.67184529482209e-05,9.97173040838365e-05,1.16461959865648
"238725_at",2.17018070953437,6.9453004964539,4.26455945886145,3.67844562875154e-05,9.98874704733158e-05,1.16290312447469
"210469_at",-1.37834396895787,5.76030978723404,-4.2637837986763,3.68975545380759e-05,0.000100176374326633,1.15996909050328
"211376_s_at",1.25506266075388,7.61452758865248,4.26292567377919,3.70230656698361e-05,0.000100471478993006,1.15672360061109
"204999_s_at",1.33934139689578,5.89241333333333,4.26236946533131,3.71046365983791e-05,0.00010068369598541,1.15462024829174
"226084_at",-1.64980875831485,9.33239921985816,-4.26222620138049,3.71256749336536e-05,0.000100726942556347,1.15407851689541
"212556_at",1.0564633037694,9.10586617021277,4.25997449041209,3.74578466556049e-05,0.000101577546581598,1.14556584271517
"219543_at",-1.35519048780488,6.25691056737589,-4.25983311016883,3.74787978997735e-05,0.000101625136576194,1.14503146490347
"244457_at",-1.70653796008869,8.89647326241135,-4.25972009841604,3.74955532820912e-05,0.000101661341731341,1.14460432185511
"215435_at",1.0959100886918,4.82657546099291,4.2596570186473,3.7504908759017e-05,0.000101677478841829,1.14436590720998
"211298_s_at",-2.17883960088692,3.03715191489362,-4.25913796156683,3.75819761623564e-05,0.00010186792250232,1.14240419560807
"218483_s_at",-1.07687425720621,7.43702007092199,-4.25869575815849,3.76477525064749e-05,0.00010203695433006,1.14073308775709
"226803_at",1.61159077605321,8.75684645390071,4.25789402794354,3.77672891012331e-05,0.000102333081843187,1.13770365081213
"203660_s_at",1.02369620842572,7.85973234042553,4.25543986981734,3.8135467642084e-05,0.000103302577518315,1.12843303436729
"244023_at",1.44086317073171,5.85712255319149,4.25434081918102,3.83014639458195e-05,0.000103705214579304,1.12428268698857
"210622_x_at",1.21070545454546,4.85055113475177,4.25143369915661,3.87438926804678e-05,0.000104836621924241,1.11330849616608
"216542_x_at",2.38671997782705,7.47450290780142,4.25133423806723,3.87591158715438e-05,0.000104858818006758,1.11293313899891
"205180_s_at",1.20557048780488,6.45142340425532,4.25091783901663,3.88229108813223e-05,0.000105012388333732,1.1113617599053
"209602_s_at",-2.06691073170732,9.11838553191489,-4.25071572962468,3.88539116401031e-05,0.000105067701857952,1.11059909556491
"217712_at",1.21836835920177,2.42916439007092,4.25032383993719,3.89140897277918e-05,0.000105211385866443,1.10912037046177
"210130_s_at",-1.80705359201774,6.77662978723404,-4.25021640227507,3.89306033309991e-05,0.000105236984282593,1.10871499211965
"225569_at",1.08543350332595,9.11833723404255,4.24996292885603,3.89695898654426e-05,0.000105332840938325,1.10775863028794
"211138_s_at",2.82221942793791,4.42731526950355,4.24927275730417,3.90759345042131e-05,0.000105591622925767,1.10515481732467
"213608_s_at",1.10036853658537,6.82816737588653,4.24745944312662,3.93566661199734e-05,0.000106311753956232,1.09831526968062
"205807_s_at",1.37744696230599,9.08996127659574,4.24695348042394,3.94353422750525e-05,0.000106505015801703,1.09640725539569
"204950_at",-1.00508627494457,6.6529924822695,-4.24690166418773,3.94434081041963e-05,0.000106517169616403,1.0962118632772
"215513_at",-1.32099299334811,4.50870177304965,-4.24673458162609,3.94694273229848e-05,0.000106577800092156,1.09558182970525
"217499_x_at",1.25570844789357,6.86448333333333,4.24573791044349,3.96249780286743e-05,0.000106968820590149,1.09182398626799
"223159_s_at",1.72643645232816,4.66011531914894,4.24437899358132,3.98380122603882e-05,0.000107524479603775,1.08670142734356
"204112_s_at",-1.0477154767184,10.3301838297872,-4.24263577695117,4.01129012695114e-05,0.000108246856334608,1.08013206390635
"217757_at",-1.30982252771619,11.5926290780142,-4.24133474632029,4.03192463660458e-05,0.000108774211748658,1.07523044527658
"206972_s_at",1.18041676274945,3.56653617021277,4.24125663508504,4.03316672499895e-05,0.000108797895589573,1.07493619888339
"215888_at",1.00934301552106,7.42896631205674,4.2408317810394,4.0399289852868e-05,0.000108970472756183,1.07333583930342
"244677_at",-1.64636656319291,3.32471574468085,-4.24013262548976,4.05108089098139e-05,0.000109261411571223,1.0707024970296
"223374_s_at",1.32095718403548,7.44312432624113,4.23995852481887,4.05386247828583e-05,0.0001093265629808,1.07004680559177
"211564_s_at",-2.14065110864745,4.26742858865248,-4.23916048659717,4.06663610760236e-05,0.000109631459653827,1.06704152919735
"219159_s_at",2.31682751662971,4.98294432624113,4.23708936498149,4.09996743068052e-05,0.000110480179556846,1.05924406960821
"207417_s_at",-1.88998521064302,6.01888418439716,-4.23676608251987,4.105193717993e-05,0.00011061103268477,1.05802722486837
"207565_s_at",1.50439614190687,5.0230095035461,4.23607528930957,4.11638272293323e-05,0.000110902508191003,1.05542729851524
"226139_at",-1.28154980044346,3.40732921985816,-4.23558773315044,4.12429743064457e-05,0.000111095705271096,1.05359248851245
"226041_at",1.07081474501109,7.00725453900709,4.23455257393236,4.14115002992455e-05,0.00011153960404286,1.04969743474101
"232382_s_at",1.50155445676275,9.70981907801418,4.2336321977045,4.15618938557567e-05,0.000111934588455916,1.0462348977003
"204004_at",1.305095654102,9.38795269503546,4.23325657909842,4.16234219869327e-05,0.000112080086985365,1.04482195383283
"206857_s_at",-1.83867423503326,5.25701822695035,-4.23309219052031,4.16503770970889e-05,0.000112142561065465,1.04420361274702
"205159_at",2.62387521064301,7.29169914893617,4.23222069151626,4.17935583114096e-05,0.000112517931456087,1.0409258130972
"218829_s_at",1.65806048780488,7.02322333333333,4.23098438232376,4.19974853083724e-05,0.000113036388739256,1.03627681628655
"221078_s_at",1.31372618625277,4.03028539007092,4.23060470861334,4.20603030916781e-05,0.000113185067494613,1.03484930764103
"201926_s_at",1.21813259423503,9.41278,4.23054819091185,4.20696617608838e-05,0.000113200054565203,1.03463681913029
"209341_s_at",-1.05693609756097,9.62822524822695,-4.2304263992258,4.20898358257433e-05,0.000113244138126851,1.03417892871978
"228752_at",-2.17584390243902,5.97034971631206,-4.2303709409414,4.20990252327776e-05,0.00011325866181365,1.03397043003391
"205287_s_at",1.71947871396896,4.38556964539007,4.22948009164376,4.22469024050204e-05,0.000113646259841979,1.03062151844779
"225521_at",1.22457090909091,5.9845504964539,4.22935392229558,4.22678862027466e-05,0.000113692469344017,1.03014726221915
"234987_at",1.32581261640798,9.87070645390071,4.22896977023132,4.23318378381529e-05,0.000113843985572483,1.02870334547587
"206170_at",-1.84770946784922,2.63415531914894,-4.22421480351877,4.31311418696084e-05,0.000115868399376871,1.01083917328966
"209734_at",1.70532206208425,5.66489304964539,4.22373873073968,4.3211961378194e-05,0.000116072847034929,1.00905144550177
"209629_s_at",2.02485563192905,5.52717588652482,4.2234775039053,4.3256369686646e-05,0.000116164686340673,1.00807056391523
"228250_at",1.52780851441242,7.84577255319149,4.22283811953589,4.33652491110772e-05,0.000116424021451893,1.00566993474188
"231169_at",1.00173050997783,6.3239904964539,4.22145545120757,4.36016000281338e-05,0.000117027007874253,1.00047953464043
"227188_at",-1.98998997782705,7.70910936170213,-4.22096332033423,4.36860216677388e-05,0.000117232530118609,0.99863244059056
"209052_s_at",1.13293951219512,3.98957666666667,4.2192089365423,4.39882510149434e-05,0.000118001169411764,0.99204913841978
"205590_at",2.76247585365854,7.44727858156028,4.21901086508522,4.40224986374355e-05,0.000118071835320175,0.991306010606758
"243751_at",1.21926851441242,6.85708765957447,4.21866940375141,4.40815991719042e-05,0.000118219733554385,0.990024973490442
"212966_at",1.38955971175166,6.48873063829787,4.21806083753894,4.41871191817323e-05,0.000118481447923516,0.98774205575647
"208965_s_at",1.66946866962306,8.57670773049645,4.21726097274407,4.43261770272539e-05,0.000118822315715646,0.984741905387985
"212853_at",1.06072966740576,3.90586276595745,4.21689919870268,4.43892097557286e-05,0.000118980606822152,0.983385099698362
"204255_s_at",1.23847614190688,7.39346716312057,4.21630262524119,4.44933398569029e-05,0.000119238318968804,0.981147893189737
"201621_at",-1.20576170731707,9.52342482269504,-4.21553725330013,4.46272762009139e-05,0.000119575802489004,0.97827803452248
"225855_at",-1.29108152993348,5.29601390070922,-4.2153425112121,4.46614167474742e-05,0.000119656547309175,0.977547888710175
"224414_s_at",-1.21095144124168,7.2465495035461,-4.21204565868976,4.52432071427486e-05,0.000121160943700164,0.965190966084931
"1559957_a_at",1.2135433481153,6.77818815602837,4.21154653368966,4.53319176863105e-05,0.000121387627917099,0.963320848303388
"222805_at",1.20929095343681,8.13424673758865,4.2095676904417,4.56852653531647e-05,0.000122289958055115,0.955908218948339
"201694_s_at",-1.49972188470067,10.8561676595745,-4.20897982574588,4.57907437128006e-05,0.000122556130980968,0.953706631461305
"1555325_s_at",1.03815184035477,6.18133141843972,4.20896777831835,4.57929077765729e-05,0.000122556130980968,0.953661515629539
"218705_s_at",1.24911623059867,6.0711475177305,4.20861185782737,4.58568855596534e-05,0.000122702392163741,0.952328691144077
"206686_at",1.2242545232816,3.0628275177305,4.20840625251238,4.58938827682169e-05,0.000122760383231997,0.951558795412554
"210448_s_at",1.22000059866962,2.57170978723404,4.2078261399137,4.59984241973254e-05,0.00012302900224252,0.949386701842041
"226513_at",1.03254381374723,7.14079482269504,4.20671358172392,4.61995560211599e-05,0.000123555894093116,0.945221640208226
"213125_at",1.46896824833703,8.34204489361702,4.20666852405462,4.6207719425357e-05,0.000123566663897027,0.945052976663881
"229748_x_at",-1.78885960088692,5.88660120567376,-4.20353785218505,4.67783222978589e-05,0.000125058960265253,0.933337411179735
"1560031_at",1.28618403547672,8.37060645390071,4.20282312619363,4.69095334085888e-05,0.000125331230794631,0.930663717409473
"209800_at",2.92448920177383,4.54183645390071,4.2005876816365,4.7322202442894e-05,0.000126388569832505,0.9223034906287
"222347_at",-1.26019279379157,3.49633340425532,-4.2003181923333,4.73721852412204e-05,0.000126510753594759,0.921295873578503
"1552656_s_at",1.7722045232816,5.19136042553192,4.19909324934402,4.76000165638297e-05,0.000127096468967759,0.916716457948189
